Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

D8         SMD_DO214AC_SMA    -32.4251mm       112.3mm    -32.4251mm       112.3mm     -30.425mm       112.3mm  T        180.00 (OPT)SS14      
D2         SMD_0805_LED2012X100N      -26.85mm       112.1mm      -26.85mm       112.1mm      -26.85mm      111.05mm  T         90.00 Green 	SML210MT ROHM
D1         SMD_0805_LED2012X100N     -23.225mm     115.325mm     -23.225mm     115.325mm     -24.275mm     115.325mm  T        360.00 Red SML210VT ROHM
D1P_3      SMD_SOT23_SOT95P240X120-3N      -44.35mm      115.35mm      -44.35mm      115.35mm       -43.2mm       114.4mm  T        180.00 BAT54C         
D1P_2      SMD_SOT23_SOT95P240X120-3N      -60.25mm      115.35mm      -60.25mm      115.35mm       -59.1mm       114.4mm  T        180.00 BAT54C         
D1P_1      SMD_SOT23_SOT95P240X120-3N      -76.25mm      115.35mm      -76.25mm      115.35mm       -75.1mm       114.4mm  T        180.00 BAT54C         
C26        SMD_0805_CAPC2012X145N       -8.15mm      93.925mm       -8.15mm      93.925mm       -7.25mm      93.925mm  T        180.00 22uF/6.3V      
C25        SMD_0805_CAPC2012X145N       -8.15mm       95.95mm       -8.15mm       95.95mm       -9.05mm       95.95mm  T        360.00 22uF/6.3V      
C15        SMD_0805_CAPC2012X145N     -5.7499mm    123.0001mm     -5.7499mm    123.0001mm     -6.6499mm    123.0001mm  T        360.00 10uF/16V       
C14        SMD_0805_CAPC2012X145N     -40.075mm     119.725mm     -40.075mm     119.725mm     -40.975mm     119.725mm  T        360.00 10uF/16V       
C13        SMD_0603_CAPC1608X80N      -25.85mm     126.225mm      -25.85mm     126.225mm      -25.05mm     126.225mm  T        180.00 18pF           
C12        SMD_0603_CAPC1608X80N      -25.05mm       129.5mm      -25.05mm       129.5mm      -25.05mm       128.7mm  T         90.00 18pF           
C11        SMD_0603_CAPC1608X80N          -6mm       109.2mm          -6mm       109.2mm          -6mm         110mm  T        270.00 100nF          
C10        SMD_0603_CAPC1608X80N        -4.5mm       109.2mm        -4.5mm       109.2mm        -4.5mm         110mm  T        270.00 100nF          
C9         SMD_0603_CAPC1608X80N       -2.15mm     111.175mm       -2.15mm     111.175mm       -2.95mm     111.175mm  T        360.00 100nF          
C8         SMD_0603_CAPC1608X80N     -6.0009mm    113.5501mm     -6.0009mm    113.5501mm     -6.0009mm    112.7501mm  T         90.00 100nF          
C7         SMD_0603_CAPC1608X80N    -13.9499mm     96.5001mm    -13.9499mm     96.5001mm    -14.7499mm     96.5001mm  T        360.00 100nF          
C7P_3      SMD_1210_CAPC3225X279N      -47.55mm       104.7mm      -47.55mm       104.7mm      -46.05mm       104.7mm  T        180.00 220uF          
C7P_2      SMD_1210_CAPC3225X279N      -63.45mm       104.7mm      -63.45mm       104.7mm      -61.95mm       104.7mm  T        180.00 220uF          
C7P_1      SMD_1210_CAPC3225X279N      -79.45mm       104.7mm      -79.45mm       104.7mm      -77.95mm       104.7mm  T        180.00 220uF          
C6         SMD_0603_CAPC1608X80N        -2.5mm         106mm        -2.5mm         106mm        -2.5mm       105.2mm  T         90.00 1nF            
C6P_3      SMD_1210_CAPC3225X279N      -47.55mm      107.95mm      -47.55mm      107.95mm      -46.05mm      107.95mm  T        180.00 220uF          
C6P_2      SMD_1210_CAPC3225X279N      -63.45mm      107.95mm      -63.45mm      107.95mm      -61.95mm      107.95mm  T        180.00 220uF          
